model,target,feature,importance
RandomForest,pH,Elevation,0.15485392708983464
RandomForest,pH,Rainfall,0.15470480747906715
RandomForest,pH,NDWI,0.15069030493944735
RandomForest,pH,NDVI,0.1499748795722651
RandomForest,pH,Aspect,0.14054318591920384
RandomForest,pH,Soil_Moisture,0.09694581632426977
RandomForest,pH,Slope,0.09432826929968738
RandomForest,pH,Temperature_C,0.05489019208870948
RandomForest,pH,LULC,0.003068617287515404
RandomForest,EC,NDVI,0.19939515472425443
RandomForest,EC,NDWI,0.19146580535421803
RandomForest,EC,Elevation,0.17813382731216182
RandomForest,EC,Aspect,0.15951002847983484
RandomForest,EC,Slope,0.11107060583908142
RandomForest,EC,Rainfall,0.07388763302913225
RandomForest,EC,Temperature_C,0.042159640606515975
RandomForest,EC,Soil_Moisture,0.04032939681557209
RandomForest,EC,LULC,0.004047907839229232
RandomForest,Organic_Carbon,NDVI,0.1728074337858287
RandomForest,Organic_Carbon,Elevation,0.17108231254318187
RandomForest,Organic_Carbon,NDWI,0.16911471391398883
RandomForest,Organic_Carbon,Aspect,0.15926075355407096
RandomForest,Organic_Carbon,Rainfall,0.11161176814906712
RandomForest,Organic_Carbon,Slope,0.10474655194809239
RandomForest,Organic_Carbon,Soil_Moisture,0.057731127139501265
RandomForest,Organic_Carbon,Temperature_C,0.05074790592022524
RandomForest,Organic_Carbon,LULC,0.002897433046043571
RandomForest,P,NDWI,0.1787572324669501
RandomForest,P,NDVI,0.1760748921759501
RandomForest,P,Elevation,0.1669919707553721
RandomForest,P,Aspect,0.16246086347543626
RandomForest,P,Slope,0.10663489500253752
RandomForest,P,Rainfall,0.076448563962403
RandomForest,P,Temperature_C,0.06874430735592008
RandomForest,P,Soil_Moisture,0.059689813072169445
RandomForest,P,LULC,0.004197461733261524
RandomForest,K,Elevation,0.16738011964420063
RandomForest,K,NDWI,0.16638992887692183
RandomForest,K,NDVI,0.16133292037504768
RandomForest,K,Aspect,0.1505030983990571
RandomForest,K,Rainfall,0.11885897081412063
RandomForest,K,Slope,0.10143139554224519
RandomForest,K,Soil_Moisture,0.06749776662595036
RandomForest,K,Temperature_C,0.06317469065164034
RandomForest,K,LULC,0.003431109070816236
RandomForest,Ca,Elevation,0.17511506356650808
RandomForest,Ca,NDWI,0.154190781274926
RandomForest,Ca,NDVI,0.1540943532816984
RandomForest,Ca,Aspect,0.1451785788798269
RandomForest,Ca,Rainfall,0.1217351445245773
RandomForest,Ca,Slope,0.09858381164438577
RandomForest,Ca,Temperature_C,0.08601887021996708
RandomForest,Ca,Soil_Moisture,0.0618826539649464
RandomForest,Ca,LULC,0.0032007426431639604
RandomForest,Mg,Temperature_C,0.16233875789954075
RandomForest,Mg,Elevation,0.16213500257797045
RandomForest,Mg,Rainfall,0.15739341941488863
RandomForest,Mg,NDWI,0.11287975430141182
RandomForest,Mg,NDVI,0.11233699913789073
RandomForest,Mg,Aspect,0.10869811295981154
RandomForest,Mg,Soil_Moisture,0.10663545172670226
RandomForest,Mg,Slope,0.07560418518583524
RandomForest,Mg,LULC,0.001978316795948546
RandomForest,S,Elevation,0.17605121173712643
RandomForest,S,NDVI,0.1677112758238814
RandomForest,S,NDWI,0.16184509769598207
RandomForest,S,Aspect,0.14117905152010665
RandomForest,S,Rainfall,0.10579582082134775
RandomForest,S,Slope,0.10338787854301706
RandomForest,S,Temperature_C,0.07719216973515451
RandomForest,S,Soil_Moisture,0.06340268001886687
RandomForest,S,LULC,0.00343481410451729
RandomForest,Fe,Rainfall,0.23434839535393678
RandomForest,Fe,Soil_Moisture,0.14723003259855807
RandomForest,Fe,Elevation,0.12842660409756207
RandomForest,Fe,NDWI,0.11362530532509206
RandomForest,Fe,NDVI,0.10575101077713314
RandomForest,Fe,Aspect,0.10428383215088828
RandomForest,Fe,Temperature_C,0.08715789110957275
RandomForest,Fe,Slope,0.0765258246374186
RandomForest,Fe,LULC,0.00265110394983809
RandomForest,Mn,Rainfall,0.2138569343448821
RandomForest,Mn,Elevation,0.14674694509590128
RandomForest,Mn,Soil_Moisture,0.11724671681865033
RandomForest,Mn,NDWI,0.11688857187666836
RandomForest,Mn,NDVI,0.11315340729345957
RandomForest,Mn,Temperature_C,0.10792253011870663
RandomForest,Mn,Aspect,0.10673025789024078
RandomForest,Mn,Slope,0.07504510064709755
RandomForest,Mn,LULC,0.0024095359143934667
RandomForest,Zn,Rainfall,0.19176369878422936
RandomForest,Zn,Elevation,0.14336349602173076
RandomForest,Zn,NDWI,0.12567634002873332
RandomForest,Zn,NDVI,0.11825190880342795
RandomForest,Zn,Soil_Moisture,0.11565876803171894
RandomForest,Zn,Aspect,0.11214395634654228
RandomForest,Zn,Temperature_C,0.11068715967560663
RandomForest,Zn,Slope,0.0795956333489985
RandomForest,Zn,LULC,0.0028590389590122645
RandomForest,Cu,Rainfall,0.19506264314081673
RandomForest,Cu,Elevation,0.14682478149411718
RandomForest,Cu,NDWI,0.13070825880166867
RandomForest,Cu,NDVI,0.12515349072092496
RandomForest,Cu,Aspect,0.12144883711616161
RandomForest,Cu,Soil_Moisture,0.10583538834457476
RandomForest,Cu,Temperature_C,0.0869151932161733
RandomForest,Cu,Slope,0.08528782387785432
RandomForest,Cu,LULC,0.0027635832877083997
RandomForest,B,Elevation,0.1668244412382394
RandomForest,B,NDWI,0.1482393103606677
RandomForest,B,Aspect,0.14718617413498974
RandomForest,B,NDVI,0.14634755764658278
RandomForest,B,Rainfall,0.13205799796894185
RandomForest,B,Temperature_C,0.09863653793747684
RandomForest,B,Slope,0.0940896706687676
RandomForest,B,Soil_Moisture,0.06567837635011947
RandomForest,B,LULC,0.000939933694214615
