,pH,EC,Organic_Carbon,P,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B,Elevation,Slope,Aspect,NDVI,NDWI,Rainfall,Temperature_C,Soil_Moisture,LULC
pH,1.0,0.3064992609953801,-0.061999691549644596,0.08179813081028817,0.124740754196835,0.23887015562179156,0.0052311777773142686,-0.16931902345834476,0.18183550493580522,0.032956533439644255,0.16221273723431742,0.08798906588791826,0.13063226769732128,-0.07379658856130461,0.021299060136990466,-0.008532774318047932,-0.08820386860815373,0.10420641248561373,-0.325517851644822,0.07406479637168768,-0.3099556433942104,0.03289711276984581
EC,0.3064992609953801,1.0,0.0888235096120889,0.19948290716493283,0.1399445281961721,0.23927419212970213,0.08384478358669269,0.02122465034690337,0.21827411741666938,0.1119394038301446,0.19249616713200682,0.10937604032435354,0.11025426846197701,-0.008682649854435575,-0.02171385569422791,0.0009364694441156538,-0.037610919585381576,0.04764474120420196,-0.04839801902765009,-0.03886112291307591,-0.03127029742201805,0.02402472973558905
Organic_Carbon,-0.061999691549644596,0.0888235096120889,1.0,0.10429463353611344,0.16267298869290267,0.06220872157238442,0.11945584137999454,0.04928570644273609,-0.1068114823878659,0.046545747335843296,-0.06200351476609778,-0.027095817984584915,0.049171488446283086,0.15529604484059217,0.027659577144212872,0.019237340051359682,0.024959294725515575,-0.03708946413066903,0.23578973143363705,-0.15832637008448366,0.26443612014077705,0.0022202847650567323
P,0.08179813081028817,0.19948290716493283,0.10429463353611344,1.0,0.16593463207103998,0.2795248833954932,0.19745206543212246,0.13887993682649852,-0.0699579370693049,-0.010332091161078801,0.015475688524375199,-0.06915871136922949,0.007577527106339032,0.04577243343196339,-0.011141560718934764,-0.04249514969123944,0.0014666514289566211,-0.004141274104933299,0.08462061058082365,-0.1160434786189498,0.0530111818770308,0.013767244653608074
K,0.124740754196835,0.1399445281961721,0.16267298869290267,0.16593463207103998,1.0,0.20260268916212254,0.15476909498005798,0.06582728023206177,-0.2724053837516793,-0.16687320861757368,-0.2862589438075931,-0.32051871072186666,-0.22591018136891222,0.06105069109806283,0.0019867992787653784,0.028621106746311076,0.007424395053787312,-0.004148826324168063,0.2564904626006278,-0.2670184122361874,0.2691885509664257,0.010984223353631781
Ca,0.23887015562179156,0.23927419212970213,0.06220872157238442,0.2795248833954932,0.20260268916212254,1.0,0.3355612803853736,0.1843326374850363,0.06103442415258661,0.1372591375588028,0.186522902455579,0.010575768655881054,0.06073344299821242,0.16262508458647693,0.08069435913083942,-0.014019236320167213,-0.023954899298753166,0.023779903230348332,-0.008760714065519147,-0.1439878600656157,0.023026390676150123,0.0275500992050102
Mg,0.0052311777773142686,0.08384478358669269,0.11945584137999454,0.19745206543212246,0.15476909498005798,0.3355612803853736,1.0,0.25360858271950454,0.037800882849603694,0.24098651915434102,0.1510995207579282,-0.07616983641172663,0.14053899122782545,0.28832925296900286,0.08973377443496419,-0.03872340107388943,0.006412743246613317,-0.010008646573038354,0.07335604472873952,-0.2320132109649649,0.21871947565657351,0.008045549406441744
S,-0.16931902345834476,0.02122465034690337,0.04928570644273609,0.13887993682649852,0.06582728023206177,0.1843326374850363,0.25360858271950454,1.0,-0.08884641955715677,0.031155846834988416,-0.07990386034382742,-0.19634354353442282,-0.0885355949945973,0.22325081224471194,0.031030788720025494,-0.015631292813732236,0.042241284674624006,-0.046553467732945046,0.21598847374811972,-0.27372902353221223,0.26027699119893866,0.0015150718009949715
Fe,0.18183550493580522,0.21827411741666938,-0.1068114823878659,-0.0699579370693049,-0.2724053837516793,0.06103442415258661,0.037800882849603694,-0.08884641955715677,1.0,0.5899577533433569,0.6824541377255148,0.6211404495826985,0.4788886528530307,0.02918526145424547,0.03503624323333034,-0.017123648662388125,-0.04045665691916376,0.06248790509842371,-0.4088031323372484,0.12312865608668698,-0.33198629049813366,-0.015376184358217125
Mn,0.032956533439644255,0.1119394038301446,0.046545747335843296,-0.010332091161078801,-0.16687320861757368,0.1372591375588028,0.24098651915434102,0.031155846834988416,0.5899577533433569,1.0,0.6537411315610995,0.5667142674339769,0.425119298383848,0.19780273071662213,0.08945071578765475,-0.009228580779877362,0.038019301938465366,-0.03213171113236036,-0.1778980915987399,0.000485291600370056,-0.04889668355723522,-0.022094686175340914
Zn,0.16221273723431742,0.19249616713200682,-0.06200351476609778,0.015475688524375199,-0.2862589438075931,0.186522902455579,0.1510995207579282,-0.07990386034382742,0.6824541377255148,0.6537411315610995,1.0,0.7046332906340831,0.5864692896063453,0.10824524531672344,0.0888737191858765,-0.030731002833452502,-0.0073861351510297445,0.017661228673970953,-0.46178376890531536,0.18234437218334912,-0.3598978675754479,-0.000390224688018916
Cu,0.08798906588791826,0.10937604032435354,-0.027095817984584915,-0.06915871136922949,-0.32051871072186666,0.010575768655881054,-0.07616983641172663,-0.19634354353442282,0.6211404495826985,0.5667142674339769,0.7046332906340831,1.0,0.6115615853350669,0.01678706782924302,0.06125919241291808,-0.012449902986723384,0.01924328707923909,-0.0055558320894241175,-0.40338218576013596,0.2027839493152983,-0.34557929979288493,-0.027890063093288387
B,0.13063226769732128,0.11025426846197701,0.049171488446283086,0.007577527106339032,-0.22591018136891222,0.06073344299821242,0.14053899122782545,-0.0885355949945973,0.4788886528530307,0.425119298383848,0.5864692896063453,0.6115615853350669,1.0,0.15089163468505026,0.10595293959305026,-0.02378636048432313,0.018602310302228604,-0.014911723987136522,-0.28255627679732925,-0.07014698039158977,-0.15866355187785217,-0.00843914356306446
Elevation,-0.07379658856130461,-0.008682649854435575,0.15529604484059217,0.04577243343196339,0.06105069109806283,0.16262508458647693,0.28832925296900286,0.22325081224471194,0.02918526145424547,0.19780273071662213,0.10824524531672344,0.01678706782924302,0.15089163468505026,1.0,0.25836503028503366,-0.006124353372420694,0.16122831763122683,-0.17695518374350921,0.006775834299033729,-0.3893176851610715,0.3719077053666529,-0.06126833903207323
Slope,0.021299060136990466,-0.02171385569422791,0.027659577144212872,-0.011141560718934764,0.0019867992787653784,0.08069435913083942,0.08973377443496419,0.031030788720025494,0.03503624323333034,0.08945071578765475,0.0888737191858765,0.06125919241291808,0.10595293959305026,0.25836503028503366,1.0,0.01884569121983926,0.09823353791518404,-0.10615102061220275,-0.07330835014134034,-0.06255262446530527,0.002426618417185657,-0.05363636516446743
Aspect,-0.008532774318047932,0.0009364694441156538,0.019237340051359682,-0.04249514969123944,0.028621106746311076,-0.014019236320167213,-0.03872340107388943,-0.015631292813732236,-0.017123648662388125,-0.009228580779877362,-0.030731002833452502,-0.012449902986723384,-0.02378636048432313,-0.006124353372420694,0.01884569121983926,1.0,0.0033955166886908156,0.012216621891341846,0.03849811820696956,0.02113187668857898,0.008509734035384601,0.0010223876763540956
NDVI,-0.08820386860815373,-0.037610919585381576,0.024959294725515575,0.0014666514289566211,0.007424395053787312,-0.023954899298753166,0.006412743246613317,0.042241284674624006,-0.04045665691916376,0.038019301938465366,-0.0073861351510297445,0.01924328707923909,0.018602310302228604,0.16122831763122683,0.09823353791518404,0.0033955166886908156,1.0,-0.9737727636347799,-0.005473768255095732,-0.07666682708993332,0.11129898097106787,-0.24054636752052977
NDWI,0.10420641248561373,0.04764474120420196,-0.03708946413066903,-0.004141274104933299,-0.004148826324168063,0.023779903230348332,-0.010008646573038354,-0.046553467732945046,0.06248790509842371,-0.03213171113236036,0.017661228673970953,-0.0055558320894241175,-0.014911723987136522,-0.17695518374350921,-0.10615102061220275,0.012216621891341846,-0.9737727636347799,1.0,-0.014858518524195848,0.06799728293514291,-0.12238589945753355,0.24683556417655558
Rainfall,-0.325517851644822,-0.04839801902765009,0.23578973143363705,0.08462061058082365,0.2564904626006278,-0.008760714065519147,0.07335604472873952,0.21598847374811972,-0.4088031323372484,-0.1778980915987399,-0.46178376890531536,-0.40338218576013596,-0.28255627679732925,0.006775834299033729,-0.07330835014134034,0.03849811820696956,-0.005473768255095732,-0.014858518524195848,1.0,-0.33562413561976734,0.6823092317117679,0.007467217076717717
Temperature_C,0.07406479637168768,-0.03886112291307591,-0.15832637008448366,-0.1160434786189498,-0.2670184122361874,-0.1439878600656157,-0.2320132109649649,-0.27372902353221223,0.12312865608668698,0.000485291600370056,0.18234437218334912,0.2027839493152983,-0.07014698039158977,-0.3893176851610715,-0.06255262446530527,0.02113187668857898,-0.07666682708993332,0.06799728293514291,-0.33562413561976734,1.0,-0.6761218530445896,0.024421094686631784
Soil_Moisture,-0.3099556433942104,-0.03127029742201805,0.26443612014077705,0.0530111818770308,0.2691885509664257,0.023026390676150123,0.21871947565657351,0.26027699119893866,-0.33198629049813366,-0.04889668355723522,-0.3598978675754479,-0.34557929979288493,-0.15866355187785217,0.3719077053666529,0.002426618417185657,0.008509734035384601,0.11129898097106787,-0.12238589945753355,0.6823092317117679,-0.6761218530445896,1.0,-0.05427373823701806
LULC,0.03289711276984581,0.02402472973558905,0.0022202847650567323,0.013767244653608074,0.010984223353631781,0.0275500992050102,0.008045549406441744,0.0015150718009949715,-0.015376184358217125,-0.022094686175340914,-0.000390224688018916,-0.027890063093288387,-0.00843914356306446,-0.06126833903207323,-0.05363636516446743,0.0010223876763540956,-0.24054636752052977,0.24683556417655558,0.007467217076717717,0.024421094686631784,-0.05427373823701806,1.0
