target,variogram_model,mae,rmse,r2,mape,bias,explained_variance
B,gaussian,0.48384899912450047,0.6761112155279103,-5.290090635273785,526.387359132883,0.07443349911992878,-0.021709517565985353
B,linear,0.6513956802317621,0.7944018490904193,-13.050321004215709,910.3122706112431,0.29369371373773834,-0.004731621221419541
B,exponential,0.6855699924697476,0.8190287444978288,-16.41945526800093,961.153647070444,0.3486509710869337,0.003511698613342773
B,spherical,0.7224549893570622,0.8799397494202162,-14.150473464822909,915.8622822490745,0.4105435367211169,-0.4530289862951076
Ca,gaussian,254.73301233651307,307.97437058100854,-0.23821459812719203,153.31213837232005,-22.522782828656467,-0.019399806961879873
Ca,linear,254.05982933930045,308.88070622675684,-0.2474716246845033,152.07536998073525,-32.58632306535391,-0.018727106284145978
Ca,spherical,254.5524192366547,309.1316718672223,-0.2478768785435334,152.18496635430424,-31.31714418646944,-0.01581075357891082
Ca,exponential,254.31366894744662,309.35428430767615,-0.2511487561239051,152.08369392600437,-33.49877487350045,-0.016700879788562828
Cu,spherical,2.3641732331583474,2.881179036400593,-3.4997889239858915,1448.5321307373913,0.1744403219459819,-0.06717035001624458
Cu,exponential,2.4073679441272797,2.881731513628601,-3.45687226838123,1449.2227916299407,0.5004480096989687,-0.17147590337896773
Cu,linear,2.4172098345676742,2.9193606415725286,-3.4747776538896598,1422.4653080892342,-0.030357013184641013,-0.02920301585845092
Cu,gaussian,2.43354082870904,2.9364674473987624,-3.5109487364186913,1446.7593413126883,0.03805455590966955,-0.037874806617326645
EC,linear,0.1374117321660106,0.23575646265727293,-0.04707989998805473,88.37351992172724,0.0005535714724863063,-0.006645431446857447
EC,gaussian,0.1366014413330188,0.2362253409456617,-0.05244417944254609,86.46422381318668,-0.004518691909114855,-0.017758846283913388
EC,spherical,0.13861760654930239,0.23792884401065378,-0.07111836583280906,88.2427857603619,-0.0025751463129588485,-0.03697011530096364
EC,exponential,0.14165396291038607,0.24109181851590178,-0.09512246345699904,89.59277855060705,0.0018569479674202666,-0.052662900524417466
Fe,spherical,31.485968514458808,41.74016019285876,-4.901302336319576,215.9810220635904,-11.599040006246616,-0.12253313263848789
Fe,exponential,31.514664277761874,41.77013512666043,-4.732581399698545,213.730139006055,-12.046985937387085,-0.21120686492183227
Fe,linear,31.717273592343947,41.991349570811465,-5.198721260257444,219.9494430009478,-11.457490100688286,-0.04353292287322727
Fe,gaussian,31.797374258911162,41.994532911182596,-5.165948388854624,220.14486432668713,-11.45756808385535,-0.04808818637562706
K,exponential,176.88883291354466,213.99422199137797,-0.8743011129717988,89.06655251855157,33.89824860639856,-0.012486083537506965
K,gaussian,186.57436117483698,223.53548807360434,-1.139130427461396,95.2133901600583,45.582882327901274,-0.012971696943881061
K,spherical,187.4063979392731,224.30796047320263,-1.1770121216757343,95.64910204430726,46.35623019895791,-0.012587701397474865
K,linear,188.6046277950095,225.5112475750809,-1.2075641288753507,96.41919017386037,47.819921135349496,-0.012778675502441245
Mg,gaussian,90.34392560096771,113.99531701019457,-0.296277326949421,98.8835488498946,10.732845773728473,0.047715235541617745
Mg,spherical,91.48093785279148,114.57415704391329,-0.3086663628729462,100.54291687368189,11.633848426692058,0.047855583327721385
Mg,exponential,93.49010930801909,115.41495591602138,-0.3321653369783778,104.07368280566692,14.885181393979803,0.048014417238923024
Mg,linear,94.57525643614999,115.60958543641881,-0.3432328245766319,106.80988253861749,17.96481537387411,0.04802803450038318
Mn,exponential,24.394250604883652,29.834725232369713,-8.740458420308336,211.68779215509323,-0.3053288186812573,-0.9651410482015825
Mn,spherical,24.866554144664054,29.868121091394478,-8.78871490560102,219.973612906868,0.13830926940568045,-0.14058001126670155
Mn,gaussian,24.89358792749553,29.897384013926334,-9.024606097284506,220.94839133224002,-0.04835976278590648,-0.057176512936276125
Mn,linear,25.295166780383877,30.215448309815294,-9.442368958584664,227.03706475962235,0.48712306058230226,-0.010573649879874747
Organic_Carbon,linear,0.8507171721878957,1.069132055258842,-0.14129367603366588,157.85482941794533,0.2991099131456737,-0.01496184890014074
Organic_Carbon,exponential,0.8511791911565937,1.0694006490590389,-0.1423395139952125,158.01403955064083,0.2999376817595255,-0.015308851647110294
Organic_Carbon,gaussian,0.854038455334279,1.0718738775010608,-0.14718816716349792,158.34207995091256,0.30425624101808846,-0.015962447414853115
Organic_Carbon,spherical,0.8769560467469105,1.093849830792594,-0.19637260928382694,161.42468095135342,0.3262841405020769,-0.022288825636270826
P,exponential,34.97693932350941,45.59501953289323,-0.05764266928103745,140.35017470999395,-2.6883107623700164,-0.03276628153558231
P,spherical,35.168271401964304,45.68148353998436,-0.061729777066078184,141.50237511218643,-2.493190226794532,-0.03584850881615059
P,linear,34.96250530845152,45.68398512528553,-0.06184149680163398,139.07829304322587,-3.0784943382918564,-0.03600375724930327
P,gaussian,35.2586423442943,45.74736718194018,-0.06481065411971709,141.99270256624362,-2.4307930745033186,-0.03797545448315881
S,spherical,15.926038504982294,24.94896160267788,-0.08604470495546973,214.86861026212205,-2.650168957909836,-0.049410542046256584
S,exponential,15.890624057590793,24.965904715478985,-0.08732612426509623,211.19752485893775,-2.787782074795901,-0.048174314554918024
S,gaussian,15.819775438540717,24.974869645990392,-0.08774342081751516,207.27917684100893,-3.0143259464375673,-0.04762950658966092
S,linear,15.336795952899461,25.175235468230348,-0.10510199707312828,200.45004785764908,-4.860573462369228,-0.04746296118814483
Zn,exponential,4.910042165462728,5.863044132504736,-66.28673597080828,570.6121167444443,-0.42265857573634924,-1.4479815576891337
Zn,gaussian,4.947140898942078,5.9023513177825295,-69.081212354467,580.0612031724613,-0.3779972729250161,-1.6770994180884045
Zn,linear,4.96632575096908,5.906959674026476,-67.81756655178685,576.4151999217282,-0.43495720498582574,-1.612740277097107
Zn,spherical,4.978692824703243,5.923167205145119,-69.15760702701458,581.0680380577016,-0.40869913748086817,-1.6815459520862177
pH,linear,0.7412716765868836,0.888894122934737,-0.5827617956430449,12.532822318147701,-0.19794254848767615,-0.016456115726429632
pH,spherical,0.7696699580016606,0.9202666933899002,-0.6848349753104612,12.888504185241741,-0.2851449671455114,-0.012585417123927328
pH,exponential,0.7847146241227494,0.9358968985279452,-0.742292667759602,13.084919698714483,-0.3549125126839947,-0.03981269675709659
pH,gaussian,5.202614741444294,5.317138505904935,-221.46043635983216,86.82554990005832,-4.846902848555793,-0.019701795122196608
